,activity_period,marketplace,transaction_type,asin,product_name,qty,item_weight,total_activity_weight,price_of_items_amt_vat_excl,total_price_of_items_amt_vat_excl,ship_charge_amt_vat_excl,total_ship_charge_amt_vat_excl,total_activity_value_amt_vat_excl,price_of_items_vat_rate_percent,price_of_items_vat_amt,total_price_of_items_vat_amt,ship_charge_vat_rate_percent,ship_charge_vat_amt,total_ship_charge_vat_amt,total_activity_value_vat_amt,price_of_items_amt_vat_incl,total_price_of_items_amt_vat_incl,ship_charge_amt_vat_incl,total_ship_charge_amt_vat_incl,total_activity_value_amt_vat_incl,transaction_currency_code,depature_city,departure_country,departure_post_code,arrival_city,arrival_country,arrival_post_code,sale_depart_country,sale_arrival_country,transportation_mode,delivery_conditions,taxable_jurisdiction,export_outside_eu,tax_reporting_scheme,tax_collection_responsibility
23,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.0,0.0,11.76,0.19,2.23,2.23,0.19,0.0,0.0,2.23,13.99,13.99,0.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Osnabrück,DE,49078,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
24,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,14.99,14.99,9.41,9.41,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.99,14.99,9.41,9.41,24.4,EUR,Barcelona,ES,08820,Victoria,MT,VCT1304,ES,MT,CONSIGNMENT_BY_POST,DAP,MALTA,NO,REGULAR,SELLER
25,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,3.79,3.79,16.39,0.2,2.52,2.52,0.2,0.76,0.76,3.28,15.12,15.12,4.55,4.55,19.67,EUR,Augny,FR,57685,Availles Limouzine,FR,86460,FR,FR,CONSIGNMENT_BY_POST,DAP,FRANCE,NO,REGULAR,SELLER
26,2022-01-01,amazon.es,REFUND,B082J64726,Immersion Heater 3.000 W,1,,,-82.64,-82.64,,,-82.64,0.21,-17.35,-17.35,,,,-17.35,-99.99,-99.99,,,-99.99,EUR,Pforzheim,,75177,Madrid,,28020,DE,ES,CONSIGNMENT_BY_POST,DAP,SPAIN,NO,REGULAR,SELLER
27,2022-01-01,,FC_TRANSFER,B08GSNC3SG,Immersion Heater 1.500 W,1,1.2,1.2,,,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,Bielany Wroclawskie,PL,55-040,BOVES,FR,80440,,,TRANSPORT_BY_ROAD,XXX,,,,
28,2022-01-01,,FC_TRANSFER,B08GSNC3SG,Immersion Heater 1.500 W,1,1.2,1.2,,,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,Bielany Wroclawskie,PL,55-040,BOVES,FR,80440,,,TRANSPORT_BY_ROAD,XXX,,,,
29,2022-01-01,amazon.de,REFUND,B082J64726,Immersion Heater 3.000 W,1,,,-92.43,-92.43,,,-92.43,0.19,-17.56,-17.56,,,,-17.56,-109.99,-109.99,,,-109.99,EUR,Berlin,,10119,Fünfseen,,17213,DE,DE,,,GERMANY,NO,REGULAR,SELLER
30,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.84,0.0,12.6,0.19,2.39,2.39,0.19,0.16,0.0,2.39,14.99,14.99,1.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Kösching,DE,85092,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
31,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.84,0.0,11.76,0.19,2.23,2.23,0.19,0.16,0.0,2.23,13.99,13.99,1.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Kösching,DE,85092,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
32,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.0,0.0,11.76,0.19,2.23,2.23,0.19,0.0,0.0,2.23,13.99,13.99,0.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Laucha an der Unstrut,DE,06636,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
